pair,market,entry_date,position_side,entry_price,position_size,entry_zscore,coint_pvalue,half_life,zero_crossing,exit_date,exit_zscore,exit_signal,total_pnl
NEAR-USD--DOGE-USD,DOGE-USD,2023-04-25T00:36:40.369Z,SHORT,0.0786,630.0,-1.9470481005691844,0.0121958505663142,17.0,23.0,2023-04-25T17:24:47.376987,2.13423157813158,Zscore,0.6455390000000001
CELO-USD--CRV-USD,CELO-USD,2023-04-23T13:18:27.120Z,LONG,0.612,82.0,-3.128260737746888,0.009650361598979,9.0,20.0,2023-04-25T17:32:51.593732,2.05158005353885,TP,-1.755223
CELO-USD--CRV-USD,CRV-USD,2023-04-23T13:18:46.078Z,SHORT,0.9665,51.0,-3.128260737746888,0.009650361598979,9.0,20.0,2023-04-25T17:32:53.479565,2.05158005353885,TP,3.557592
NEAR-USD--DOGE-USD,NEAR-USD,2023-04-25T17:27:40.397Z,SHORT,1.88,26.6,2.248152748750854,0.014483575584862,19.0,18.0,2023-04-25T21:04:09.854696,2.0509466435207258,SL,-2.5995830000000004
NEAR-USD--DOGE-USD,DOGE-USD,2023-04-25T17:27:59.394Z,LONG,0.0779,640.0,2.248152748750854,0.014483575584862,19.0,18.0,2023-04-25T21:04:11.808813,2.0509466435207258,SL,1.180843
UNI-USD--MATIC-USD,UNI-USD,2023-04-25T07:46:17.017Z,SHORT,5.281684,9.5,1.556562840587147,0.0019907540442413,6.0,18.0,2023-04-25T21:18:58.632880,-1.7679542299425557,Zscore,-1.444599
UNI-USD--MATIC-USD,MATIC-USD,2023-04-25T07:46:36.124Z,LONG,0.962112,52.0,1.556562840587147,0.0019907540442413,6.0,18.0,2023-04-25T21:19:00.512916,-1.7679542299425557,Zscore,1.826943
ENJ-USD--UMA-USD,ENJ-USD,2023-04-25T10:06:28.219Z,LONG,0.384,130.0,-1.984462529677128,0.0201660416925712,9.0,17.0,2023-04-25T22:12:11.792899,2.011397414329712,Zscore,1.832006
ENJ-USD--UMA-USD,UMA-USD,2023-04-25T10:06:47.261Z,SHORT,1.856357,26.9,-1.984462529677128,0.0201660416925712,9.0,17.0,2023-04-25T22:12:14.016992,2.011397414329712,Zscore,-1.25256
MKR-USD--ADA-USD,MKR-USD,2023-04-25T10:01:50.076Z,LONG,671.0,0.075,-2.1530858563387048,0.0080707908027553,7.0,27.0,2023-04-26T09:16:31.633066,-1.1618498039279668,SL,1.915739
MKR-USD--ADA-USD,ADA-USD,2023-04-25T10:02:09.439Z,SHORT,0.378,131.0,-2.1530858563387048,0.0080707908027553,7.0,27.0,2023-04-26T09:16:33.574271,-1.1618498039279668,SL,-3.238226
RUNE-USD--FIL-USD,RUNE-USD,2023-04-24T17:17:42.456Z,LONG,1.354,36.0,-2.144741297111349,1.576105624250719e-06,6.0,21.0,2023-04-26T09:40:22.605184,2.427150785265824,Zscore,1.61241
RUNE-USD--FIL-USD,FIL-USD,2023-04-24T17:18:01.333Z,SHORT,5.23,9.5,-2.144741297111349,1.576105624250719e-06,6.0,21.0,2023-04-26T09:40:24.392625,2.427150785265824,Zscore,-1.572872
ZRX-USD--SUSHI-USD,ZRX-USD,2023-04-25T20:22:16.353Z,SHORT,0.256,195.0,1.5528198809659297,0.02043412207111,9.0,22.0,2023-04-26T13:18:38.597361,1.5091032783117453,SL,-3.450488
ZRX-USD--SUSHI-USD,SUSHI-USD,2023-04-25T20:22:35.340Z,LONG,1.042,48.0,1.5528198809659297,0.02043412207111,9.0,22.0,2023-04-26T13:18:40.551760,1.5091032783117453,SL,2.091688
NEAR-USD--DOGE-USD,NEAR-USD,2023-04-25T21:05:44.511Z,SHORT,1.97,25.3,2.3629639370788844,0.0139882262286438,18.0,17.0,2023-04-26T13:44:59.967716,-2.9486567184253745,Zscore,-0.613055
NEAR-USD--DOGE-USD,DOGE-USD,2023-04-25T21:06:03.687Z,LONG,0.0799,620.0,2.3629639370788844,0.0139882262286438,18.0,17.0,2023-04-26T13:45:01.937533,-2.9486567184253745,Zscore,1.583474
FIL-USD--UMA-USD,FIL-USD,2023-04-26T10:51:32.732Z,LONG,5.456413,9.2,-1.6413488062867283,0.0011543636153931,12.0,31.0,2023-04-26T19:31:11.064943,1.9000182853743743,Zscore,-0.86958
FIL-USD--UMA-USD,UMA-USD,2023-04-26T10:51:51.811Z,SHORT,1.930508,25.6,-1.6413488062867283,0.0011543636153931,12.0,31.0,2023-04-26T19:31:12.730429,1.9000182853743743,Zscore,0.325768
CELO-USD--CRV-USD,CELO-USD,2023-04-25T17:34:54.498Z,SHORT,0.59,84.0,2.172223005607133,0.0409165669574282,11.0,17.0,2023-04-26T19:58:37.582445,-2.4405415910740174,Zscore,0.968953
CELO-USD--CRV-USD,CRV-USD,2023-04-25T17:35:13.449Z,LONG,0.898,55.0,2.172223005607133,0.0409165669574282,11.0,17.0,2023-04-26T19:58:39.508263,-2.4405415910740174,Zscore,0.388518
ENJ-USD--ZRX-USD,ENJ-USD,2023-04-26T13:22:53.547Z,LONG,0.41,122.0,-1.7532146890408706,0.0092987303335753,7.0,14.0,2023-04-27T00:23:26.656764,1.8126823513166777,Zscore,-1.418122
ENJ-USD--ZRX-USD,ZRX-USD,2023-04-26T13:23:12.633Z,SHORT,0.272,183.0,-1.7532146890408706,0.0092987303335753,7.0,14.0,2023-04-27T00:23:28.375391,1.8126823513166777,Zscore,1.7279449999999998
CELO-USD--CRV-USD,CELO-USD,2023-04-26T20:02:51.442Z,LONG,0.569,87.0,-1.6853101825277872,0.0070482235232095,10.0,17.0,2023-04-27T00:26:29.074900,1.7955674819923737,Zscore,4.260114
CELO-USD--CRV-USD,CRV-USD,2023-04-26T20:03:10.679Z,SHORT,0.8847,56.0,-1.6853101825277872,0.0070482235232095,10.0,17.0,2023-04-27T00:26:30.968675,1.7955674819923737,Zscore,-3.057299
